stationReference,value,highestRecentLevel
0130TH,0.13197916666666668,1.166
0144TH,1.0054895833333333,1.487
0155TH,0.09113541666666668,1.871
0184TH,0.5639895833333334,2.186
0190TH,0.23895833333333336,0.979
022013,0.07592708333333333,1.663
0260TH,0.22411458333333334,0.854
0278TH,0.4013541666666667,1.434
0290TH,0.2116875,0.652
0311TH,0.8163229166666667,2.188
0319TH,0.3746041666666667,2.463
0350TH,0.0,
0390TH,0.9591979166666667,2.587
0470TH,0.21432291666666667,0.784
0490TH,0.19976041666666666,1.054
0503SO,0.24452083333333333,3.123
0530TH,0.17071875,1.181
055002_TG_301,0.6037708333333334,5.587
055003_TG_316,0.5790104166666666,2.802
055013_TG_326,0.20179166666666667,1.792
055014_TG_306,0.38558333333333333,1.832
055018_TG_327,0.31717708333333333,2.619
055021_TG_305,0.8386458333333332,3.463
055027_TG_328,0.1345,1.219
055028_TG_9302,0.1989375,1.8
055031_TG_329,0.13196875,0.827
055040,0.18839583333333332,2.561
055041,0.34982,
055807_TG_320,0.4495,4.935
055811_TG_9303,0.6093541666666666,6.0
055816_TG_319,0.7321458333333334,5.015
055817_TG_323,0.5137916666666666,4.621
055L010SG,0.30406249999999996,1.275
0569TH,2.2992916666666665,4.376
0630TH,0.10502083333333333,0.36
0655TH,0.10845833333333332,
0657TH,0.09555208333333333,
0660TH,0.14014583333333333,0.524
0680TH,0.7800833333333334,1.426
0701TH,0.14752083333333335,0.776
0710TH,1.95690625,3.077
0712TH,0.7974375,3.078
0730TH,0.5957916666666666,2.412
0790TH,0.19084375,2.09
0890TH,0.11551041666666667,0.768
0898TH,0.16195833333333334,0.796
0901TH,0.1509375,0.919
0902TH,0.12539583333333335,0.702
0903TH,0.14489583333333333,0.819
0904SO,0.8046145833333332,3.661
0904TH,0.15775,0.728
0911TH,0.6776041666666668,2.154
0913TH,0.9506041666666666,1.784
1003SO,0.4715416666666667,
1020TH,0.12920833333333334,0.597
1029TH,0.1481875,0.602
1080TH,0.4403333333333333,1.428
1082TH,0.7198229166666666,2.068
1090_w1TH,0.26628125,0.986
1090_w2TH,0.11458333333333333,0.847
1099TH,0.10326041666666667,1.159
1100TH,0.9141354166666668,1.835
1102TH,0.19834375,0.89
1113SO,0.31490625,
1201TH,0.17279166666666668,1.187
1208TH,0.10858333333333332,1.343
1210TH,0.45332291666666663,2.362
1236TH,0.08209375000000001,
1238TH,0.6929166666666666,2.643
1285SO,0.13288541666666667,
1289TH,0.11261458333333334,0.864
1290_w1TH,0.2550729166666667,1.091
1290_w2TH,0.31063541666666666,1.292
1301TH,0.207,0.977
1302TH,0.15688541666666667,0.398
1303TH,0.02109433962264151,0.188
1408TH,0.9632499999999999,2.51
1414TH,1.136125,
1415TH,1.1364583333333333,
1416TH,1.51371875,2.593
1420TH,0.17036458333333335,1.801
1431TH,0.7028854166666666,1.794
1437TH,0.1454375,1.27
1453TH,0.4978125,2.052
1460_w1TH,0.3401145833333334,1.728
1460_w2TH,-0.23291666666666666,
1465TH,0.89084375,2.867
1471TH,0.09130208333333334,1.858
1483TH,0.5553958333333333,2.911
1484TH,0.44,1.709
1486TH,0.9643437499999999,1.936
1489TH,6.852583333333333,
1490TH,4.756260416666667,
1491TH,1.9245833333333333,2.678
1501TH,0.14688541666666666,0.857
1503TH,0.13154166666666667,0.537
151816001,0.2516979166666667,
1635TH,1.2147083333333335,3.09
1645TH,1.0135520833333334,3.032
